date,up_count,down_count,flat_count,limit_up,limit_down,red_ratio,touch_down,zt_fail_count,hb_wave10,median_chg,avg_price,connect_hl,connect_2b,fc_ratio,zt_fail_ratio,zt_prev_ret
2007-11-30,258.0,943.0,25.0,8.0,3.0,21.48209825145712,,,,,,,,,,
2007-12-03,830.0,331.0,61.0,16.0,2.0,71.49009474590869,,,,,,,,,,
2007-12-04,687.0,441.0,102.0,9.0,2.0,60.90425531914894,,,,,,,,,,
2007-12-05,1108.0,89.0,31.0,16.0,0.0,92.56474519632414,,,,,,,,,,
2007-12-06,661.0,506.0,59.0,12.0,0.0,56.64095972579263,,,,,,,,,,
2007-12-07,1059.0,130.0,39.0,16.0,0.0,89.06644238856181,,,,,,,,,,
2007-12-10,1185.0,30.0,6.0,28.0,1.0,97.53086419753086,,,,,,,,,,
2007-12-11,871.0,300.0,59.0,16.0,0.0,74.38087105038429,,,,,,,,,,
2007-12-12,670.0,484.0,69.0,13.0,0.0,58.05892547660312,,,,,,,,,,
2007-12-13,137.0,1070.0,18.0,6.0,4.0,11.350455675227836,,,,,,,,,,
2007-12-14,1068.0,128.0,29.0,17.0,0.0,89.29765886287625,,,,,,,,,,
2007-12-17,687.0,468.0,55.0,9.0,5.0,59.48051948051948,,,,,,,,,,
2007-12-18,364.0,822.0,35.0,1.0,5.0,30.69139966273187,,,,,,,,,,
2007-12-19,1148.0,60.0,22.0,16.0,1.0,95.03311258278146,,,,,,,,,,
2007-12-20,942.0,196.0,79.0,15.0,0.0,82.77680140597539,,,,,,,,,,
2007-12-21,1033.0,136.0,52.0,13.0,0.0,88.366124893071,,,,,,,,,,
2007-12-24,968.0,169.0,83.0,20.0,0.0,85.1363236587511,,,,,,,,,,
2007-12-25,860.0,316.0,60.0,12.0,0.0,73.12925170068027,,,,,,,,,,
2007-12-26,1072.0,109.0,49.0,13.0,0.0,90.770533446232,,,,,,,,,,
2007-12-27,736.0,415.0,82.0,14.0,0.0,63.94439617723718,,,,,,,,,,
2007-12-28,425.0,752.0,49.0,11.0,0.0,36.10875106202209,,,,,,,,,,
2008-01-02,1117.0,88.0,18.0,50.0,0.0,92.69709543568464,,,,,,,,,,
2008-01-03,996.0,234.0,26.0,26.0,0.0,80.97560975609757,,,,,,,,,,
2008-01-04,527.0,668.0,57.0,23.0,0.0,44.10041841004184,,,,,,,,,,
2008-01-07,913.0,293.0,43.0,27.0,0.0,75.70480928689885,,,,,,,,,,
2008-01-08,217.0,1021.0,7.0,4.0,0.0,17.528271405492728,,,,,,,,,,
2008-01-09,1181.0,59.0,16.0,36.0,0.0,95.24193548387096,,,,,,,,,,
2008-01-10,614.0,588.0,53.0,17.0,0.0,51.08153078202995,,,,,,,,,,
2008-01-11,476.0,746.0,28.0,10.0,0.0,38.95253682487725,,,,,,,,,,
2008-01-14,878.0,321.0,50.0,20.0,0.0,73.2276897414512,,,,,,,,,,
2008-01-15,791.0,433.0,29.0,20.0,0.0,64.62418300653596,,,,,,,,,,
2008-01-16,385.0,831.0,31.0,14.0,1.0,31.661184210526315,,,,,,,,,,
2008-01-17,276.0,971.0,14.0,10.0,6.0,22.133119486768244,,,,,,,,,,
2008-01-18,784.0,409.0,44.0,15.0,0.0,65.71668063704945,,,,,,,,,,
2008-01-21,125.0,1107.0,12.0,7.0,42.0,10.146103896103895,,,,,,,,,,
2008-01-22,21.0,1228.0,2.0,2.0,823.0,1.6813450760608486,,,,,,,,,,
2008-01-23,1146.0,101.0,4.0,117.0,2.0,91.90056134723336,,,,,,,,,,
2008-01-24,1074.0,152.0,31.0,67.0,1.0,87.60195758564437,,,,,,,,,,
2008-01-25,561.0,640.0,52.0,28.0,5.0,46.711074104912576,,,,,,,,,,
2008-01-28,71.0,1178.0,0.0,6.0,491.0,5.684547638110488,,,,,,,,,,
2008-01-29,933.0,299.0,29.0,20.0,2.0,75.73051948051948,,,,,,,,,,
2008-01-30,747.0,457.0,53.0,24.0,7.0,62.04318936877077,,,,,,,,,,
2008-01-31,130.0,1105.0,17.0,4.0,61.0,10.526315789473683,,,,,,,,,,
2008-02-01,117.0,1132.0,10.0,1.0,68.0,9.367493995196156,,,,,,,,,,
2008-02-04,1256.0,2.0,0.0,374.0,0.0,99.84101748807632,,,,,,,,,,
2008-02-05,610.0,612.0,59.0,16.0,0.0,49.91816693944354,,,,,,,,,,
2008-02-13,434.0,790.0,54.0,11.0,0.0,35.45751633986928,,,,,,,,,,
2008-02-14,1179.0,75.0,20.0,15.0,0.0,94.01913875598086,,,,,,,,,,
2008-02-15,384.0,847.0,36.0,6.0,0.0,31.194151096669376,,,,,,,,,,
2008-02-18,1207.0,35.0,12.0,38.0,2.0,97.18196457326891,,,,,,,,,,
2008-02-19,1097.0,132.0,37.0,19.0,1.0,89.25956061838893,,,,,,,,,,
2008-02-20,336.0,886.0,37.0,12.0,1.0,27.49590834697217,,,,,,,,,,
2008-02-21,819.0,397.0,52.0,16.0,1.0,67.35197368421053,,,,,,,,,,
2008-02-22,229.0,1007.0,20.0,9.0,0.0,18.527508090614887,,,,,,,,,,
